Oscar BoxOffice Budget Country Critics Length
1 111.79 103.13 America 33.6 94.0 
1 243.53 75.61 America 58.1 73.0 
1 140.74 42.71 Europe 56.0 117.0 
0 13.04 18.66 Other 27.6 97.0 
0 38.83 24.94 India 40.0 139.0 
0 144.59 79.06 America 76.0 90.0 
0 50.17 25.89 India 15.5 161.0 
0 62.63 116.26 America 33.6 95.0 
0 134.58 25.84 UK 41.1 84.0 
0 14.16 17.03 Other 55.4 116.0 
1 46.84 36.99 UK 49.8 94.0 
0 15.83 43.98 UK 29.3 106.0 
1 82.33 39.13 Europe 71.4 114.0 
1 142.05 67.06 America 33.1 67.0 
1 59.55 30.63 UK 69.8 96.0 
0 42.94 32.74 Europe 62.6 98.0 
0 32.95 111.07 America 15.7 98.0 
0 79.54 40.37 UK 99.8 103.0 
0 90.19 29.49 India 44.7 157.0 
0 23.39 27.96 India 29.5 165.0 
0 15.7 27.41 India 28.1 152.0 
0 41.29 87.94 America 17.6 77.0 
0 41.78 20.42 India 37.4 124.0 
0 109.96 40.44 UK 77.0 106.0 
0 172.36 69.92 America 47.3 67.0 
1 38.71 37.64 UK 64.9 101.0 
1 52.34 25.31 UK 52.7 74.0 
0 26.9 30.1 UK 12.0 78.0 
0 66.88 82.87 America 42.3 88.0 
0 111.9 96.55 America 32.2 77.0 
1 444.68 61.36 America 37.5 69.0 
1 157.3 43.64 Europe 85.4 136.0 
1 119.9 67.16 America 46.1 72.0 
1 86.78 34.85 Europe 71.2 135.0 
0 20.18 25.34 India 13.8 178.0 
0 51.56 18.69 Other 16.6 106.0 
0 84.58 119.04 America 54.4 92.0 
0 43.48 23.43 India 32.0 141.0 
0 72.84 24.09 India 81.8 170.0 
0 45.19 27.65 India 70.9 146.0 
0 46.09 32.42 UK 68.6 91.0 
0 36.58 25.07 India 21.6 125.0 
0 44.88 87.12 America 17.7 67.0 
0 45.7 116.71 America 32.2 96.0 
0 142.96 100.85 America 64.5 90.0 
1 61.33 30.88 UK 32.7 102.0 
1 76.8 33.67 UK 44.7 91.0 
0 16.55 20.87 India 16.2 137.0 
0 40.54 32.02 UK 31.9 101.0 
0 13.76 16.3 Other 19.4 112.0 
0 191.53 76.16 America 22.4 67.0 
0 109.28 36.31 Europe 46.3 104.0 
1 121.04 28.28 UK 15.6 89.0 
0 25.01 20.16 India 48.9 144.0 
0 68.17 37.59 UK 19.6 84.0 
0 40.99 23.16 India 35.0 134.0 
0 69.28 17.3 Other 53.1 102.0 
1 40.38 88.13 America 17.9 73.0 
0 57.4 95.03 America 28.4 81.0 
0 93.4 27.35 India 68.8 148.0 
0 70.78 41.78 Europe 69.3 143.0 
0 68.72 18.24 India 24.9 125.0 
0 204.24 85.65 America 47.1 71.0 
0 37.8 22.35 UK 38.0 76.0 
0 197.23 126.48 America 56.1 98.0 
0 63.29 26.73 Europe 69.8 111.0 
1 42.96 16.13 Other 51.9 97.0 
0 122.53 93.37 America 61.4 78.0 
1 98.39 124.7 America 53.9 98.0 
0 247.7 106.06 America 51.6 99.0 
0 76.07 28.01 UK 38.8 88.0 
0 54.55 23.19 India 62.0 132.0 
0 48.3 116.02 America 30.4 99.0 
1 65.25 34.13 UK 69.7 77.0 
0 32.07 28.17 India 43.0 150.0 
1 112.8 16.35 Other 36.4 100.0 
0 48.93 26.64 India 70.3 172.0 
0 52.54 34.31 UK 39.8 103.0 
0 51.05 29.34 UK 33.4 79.0 
1 66.24 26.96 UK 61.7 85.0 
0 91.74 23.3 India 45.6 123.0 
0 28.51 50.2 Europe 61.9 138.0 
1 52.41 44.82 UK 53.2 105.0 
0 34.33 26.5 India 19.3 145.0 
0 182.4 106.87 America 70.4 90.0 
1 178.51 94.53 America 55.0 77.0 
1 176.17 115.98 America 78.8 87.0 
0 110.29 114.03 America 40.9 88.0 
0 61.96 94.82 America 38.4 93.0 
0 90.71 32.13 UK 20.3 102.0 
1 76.48 91.69 America 46.6 97.0 
0 94.43 122.73 America 60.6 93.0 
0 72.39 102.24 America 38.9 86.0 
0 75.12 88.2 America 24.2 79.0 
0 29.2 19.77 Other 56.2 102.0 
0 59.09 32.48 Europe 70.5 134.0 
0 93.79 109.14 America 36.8 93.0 
0 80.86 42.82 Europe 91.2 133.0 
1 83.23 33.11 Europe 57.2 113.0 
0 61.13 87.93 America 20.4 91.0 
1 85.24 44.76 UK 37.3 107.0 
1 139.59 26.32 India 19.2 165.0 
1 159.62 22.38 Other 97.8 127.0 
0 96.96 82.01 America 50.1 93.0 
1 50.1 43.38 Europe 95.6 126.0 
1 122.59 110.34 America 80.2 96.0 
0 22.39 27.4 India 42.5 175.0 
0 115.46 76.61 America 67.5 83.0 
1 78.07 48.21 Europe 53.1 134.0 
1 142.4 28.06 UK 36.8 77.0 
0 110.46 108.87 America 64.1 81.0 
1 29.37 37.54 UK 51.3 109.0 
1 59.53 27.08 India 50.8 148.0 
0 23.76 19.36 India 41.9 135.0 
0 57.18 95.84 America 27.8 74.0 
1 41.43 90.05 America 21.1 95.0 
0 50.13 23.53 Europe 64.6 99.0 
0 126.36 84.51 America 36.3 68.0 
1 135.47 21.49 India 43.0 151.0 
1 150.82 29.82 India 45.6 172.0 
1 120.64 34.87 UK 48.3 88.0 
0 85.26 78.83 America 29.1 87.0 
1 101.17 113.06 America 47.3 100.0 
1 77.91 31.32 India 68.4 172.0 
1 44.57 27.84 UK 42.2 82.0 
1 114.18 33.84 UK 25.5 98.0 
0 92.8 17.79 India 48.6 126.0 
0 27.93 31.86 UK 22.1 94.0 
0 69.37 32.39 India 83.7 172.0 
0 18.93 31.75 UK 26.1 81.0 
0 175.81 106.25 America 69.0 92.0 
0 111.1 28.6 India 12.2 157.0 
1 65.35 88.4 America 26.2 72.0 
1 48.73 25.3 India 19.7 154.0 
0 32.89 22.03 India 28.5 133.0 
0 12.86 21.68 India 13.8 154.0 
0 49.94 35.8 Europe 49.1 111.0 
0 58.12 21.12 India 24.0 127.0 
0 31.64 28.74 Europe 52.1 100.0 
0 51.06 71.17 America 26.8 71.0 
0 140.55 96.54 America 40.5 79.0 
0 119.79 85.41 America 12.8 95.0 
1 26.59 37.71 UK 45.9 94.0 
1 204.73 109.74 America 71.8 93.0 
0 39.89 24.01 India 39.5 135.0 
0 74.8 74.39 America 40.3 78.0 
1 87.11 18.41 Other 68.9 104.0 
1 138.88 85.52 America 52.2 73.0 
0 50.44 28.54 India 59.3 150.0 
1 78.12 37.31 UK 83.7 96.0 
0 47.44 83.2 America 27.2 81.0 
0 106.97 73.76 America 62.8 82.0 
0 50.28 27.03 India 41.9 157.0 
0 38.98 28.64 India 51.3 147.0 
0 127.71 63.58 America 56.4 69.0 
0 45.61 25.98 UK 40.1 80.0 
0 75.77 80.07 America 34.7 79.0 
0 52.61 22.13 India 17.1 159.0 
0 46.13 32.21 India 70.9 160.0 
0 109.65 105.36 America 52.1 78.0 
0 86.16 15.58 Other 65.9 102.0 
0 61.35 30.5 India 48.4 165.0 
0 156.76 75.79 America 22.6 79.0 
0 109.38 65.0 America 55.5 71.0 
1 72.44 23.74 India 36.8 173.0 
1 163.63 92.17 America 52.0 72.0 
1 38.35 34.87 UK 29.4 88.0 
0 79.63 25.61 India 29.5 147.0 
0 57.92 29.14 India 70.1 142.0 
1 166.85 113.26 America 63.8 84.0 
0 78.92 114.42 America 48.6 88.0 
1 106.71 26.24 India 25.3 137.0 
1 40.17 34.79 UK 55.6 108.0 
1 139.72 82.52 America 74.7 83.0 
0 24.97 21.56 Other 80.9 126.0 
1 48.84 23.42 India 60.2 162.0 
0 125.95 96.3 America 41.2 75.0 
0 43.01 77.88 America 12.0 76.0 
0 29.16 33.35 UK 49.4 77.0 
0 91.95 77.41 America 42.8 71.0 
0 39.08 37.04 Europe 15.6 102.0 
0 52.96 17.34 Other 48.1 113.0 
0 105.32 84.55 America 26.1 67.0 
0 37.36 26.13 India 14.1 164.0 
0 129.38 101.96 America 61.4 92.0 
1 48.89 101.54 America 32.3 92.0 
1 151.68 110.03 America 87.2 98.0 
0 107.55 21.17 India 53.2 132.0 
1 184.48 103.17 America 55.2 79.0 
0 51.02 17.78 Other 81.2 111.0 
0 59.97 22.38 India 52.8 125.0 
0 101.87 90.8 America 52.3 88.0 
1 305.04 88.34 America 26.9 68.0 
0 34.0 17.14 Other 70.4 131.0 
1 92.48 36.71 Europe 76.0 144.0 
0 90.02 97.51 America 38.8 92.0 
0 72.27 40.99 Europe 91.4 144.0 
0 81.37 87.98 America 18.4 88.0 
0 67.25 85.56 America 27.6 85.0 
0 105.76 108.25 America 21.0 97.0 
0 99.05 20.68 India 53.1 147.0 
0 186.31 78.35 America 56.1 69.0 
0 18.53 21.21 Other 52.7 117.0 
0 92.95 82.56 America 51.4 93.0 
1 330.05 28.77 UK 37.7 96.0 
1 152.21 42.42 UK 19.7 101.0 
0 99.78 33.57 UK 86.3 98.0 
1 114.38 107.29 America 82.1 99.0 
0 107.88 74.44 America 48.6 72.0 
1 54.99 26.14 India 58.4 171.0 
1 147.58 94.5 America 21.2 84.0 
0 74.62 41.88 Europe 91.6 133.0 
0 119.06 80.9 America 38.9 68.0 
0 43.33 35.42 UK 64.3 97.0 
1 20.16 40.7 UK 39.5 103.0 
0 43.86 29.07 UK 58.9 91.0 
0 26.8 35.57 India 21.2 172.0 
0 46.38 82.61 America 25.8 82.0 
0 114.28 86.78 America 69.3 87.0 
0 53.68 34.62 UK 47.1 85.0 
1 205.5 89.98 America 34.7 67.0 
0 151.59 76.23 America 55.2 68.0 
0 91.34 37.09 UK 92.1 104.0 
1 68.93 92.18 America 21.8 80.0 
1 89.01 33.58 UK 98.6 101.0 
0 121.77 19.26 Other 35.6 106.0 
0 26.87 93.49 America 13.0 83.0 
0 41.31 34.53 UK 51.3 90.0 
0 64.11 123.02 America 35.2 99.0 
0 55.18 33.22 UK 81.9 99.0 
1 64.31 20.8 Other 68.5 115.0 
0 69.78 44.76 UK 86.1 109.0 
1 102.96 30.79 UK 52.4 79.0 
0 11.74 35.73 Europe 18.1 99.0 
0 199.1 96.34 America 65.0 89.0 
0 26.24 17.91 India 19.4 124.0 
0 57.23 26.66 UK 77.0 85.0 
1 62.34 29.78 India 59.9 164.0 
1 132.78 83.91 America 74.9 85.0 
0 161.47 92.77 America 35.4 90.0 
0 212.99 85.13 America 29.4 71.0 
1 58.99 18.18 Other 37.3 124.0 
0 44.45 30.03 UK 25.1 83.0 
0 41.92 33.04 Europe 53.5 104.0 
